win,hero1,kda1,money1,output1,intake1,hero2,kda2,money2,output2,intake2,hero3,kda3,money3,output3,intake3,hero4,kda4,money4,output4,intake4,hero5,kda5,money5,output5,intake5,all_money_a,all_kill_a,all_tower_a
1,Marco Polo,1/4/7,10719,93447,52570,Da Mo,8/2/4,11518,75459,69112,Bian Que,3/4/4,8959,53598,60321,Taiyi Zhenren,0/3/5,7819,38201,125296,Bai Qi,2/2/8,9685,62967,138629,48700,14,5
1,Hua Mulan,3/2/4,13841,105081,93299,Laofuzi,3/2/6,15175,92511,104251,Li Bai,2/0/7,14110,121116,98196,Wu Zetian,2/1/8,13729,168882,47952,Taiyi Zhenren,1/4/7,12064,41882,208895,68919,11,8
0,Marco Polo,2/1/4,14124,138445,74893,Guan Yu,2/2/5,12812,65010,90013,Ganjiang Moye,3/1/2,12712,153305,30900,Zhang Fei,2/3/5,10502,38549,221662,Su Lie,0/4/5,11274,73282,173421,61424,9,4
1,Hua Mulan,3/1/9,10863,68077,95451,Da Mo,2/3/9,9375,41523,93341,Naklulu,9/2/9,12912,108352,70354,Bian Que,4/2/10,10319,91516,76757,Bull Demon,1/4/9,8001,39192,133698,51470,19,7
0,Marco Polo,4/3/7,11316,133858,39564,Liu Bang,1/4/6,10868,63780,111813,Yingzheng,7/3/4,11684,117704,37221,Taiyi Zhenren,0/5/7,7376,24306,108445,Yang Jian,0/4/5,8549,52901,112124,49793,12,4
0,Bai Qi,4/1/7,12334,80995,177617,Miyue,2/6/3,11567,84954,75025,Li Yuanfang,3/5/8,10459,85382,72215,Tachibana Ukyo,3/7/6,9752,69421,101528,Guiguzi,1/4/10,9012,41730,125183,53124,13,5
1,Marco Polo,6/3/8,14069,135270,64898,Da Mo,7/3/4,11970,53590,83814,Ganjiang Moye,7/2/6,13706,170985,30125,Taiyi Zhenren,1/2/14,10705,41699,153907,Cao Cao,2/3/7,13209,74374,124998,63659,23,8
1,Zhuang Zhou,0/1/3,12209,77251,76907,Da Mo,5/1/3,12447,32752,65553,Marco Polo,5/1/4,13205,105399,40591,Yingzheng,1/0/9,12247,111270,27467,Guiguzi,1/0/10,8785,25024,78646,58893,12,9
0,Li Yuanfang,0/2/1,10620,20523,40413,Hua Mulan,2/2/0,12345,31215,64584,Ganjiang Moye,1/2/1,10300,85250,35269,Taiyi Zhenren,0/2/2,7498,18872,98047,Bai Qi,0/4/2,8948,42706,159103,49711,3,2
1,Ma Chao,8/1/6,11755,41212,42368,Shen Mengxi,3/1/12,9484,87122,23679,Naklulu,4/1/4,13045,42604,47467,Daqiao,1/4/13,6618,12704,35049,Zhong Wuyan,1/1/11,8367,26126,66790,49269,17,8
0,Meng Tian,1/2/3,7724,38794,50624,Pangu,2/3/3,7654,28120,43565,Gongsun Li,1/5/5,8880,40159,45431,Cai Wenji,1/4/7,5530,14710,59820,Mai Shiranui,3/3/3,6974,30265,37454,36762,8,1
1,Di Renjie,3/1/6,17650,139585,58810,Xishi,1/1/7,11585,74212,30029,Jing,4/2/7,16288,65937,87872,Master Luban,0/1/8,8934,21937,75894,Nezha,3/4/3,14044,35727,80574,68501,11,8
0,Lv Bu,0/2/7,10390,29202,123467,Lanlingwang,7/3/0,14996,41250,47946,Marco Polo,1/1/6,14893,91536,50196,Bull Demon,1/3/4,7634,16692,101979,Mozi,0/2/4,12044,66907,68525,59957,9,3
1,Guan Yu,5/0/4,10788,47572,34258,Diao Chan,5/1/3,12929,98169,62352,Tachibana Ukyo,3/0/4,15023,46720,64607,Sun Bin,0/0/9,7693,24707,32893,Lian Po,0/0/5,10036,36263,83123,56469,13,9
0,Zhu Bajie,0/1/0,6604,14753,63146,Naklulu,0/5/1,8694,14126,48137,Meng Ya,1/3/0,11234,78215,50101,Zhang Fei,0/2/1,5756,10650,83683,Zhou Yu,0/2/1,7249,48746,32201,39537,1,1
0,Marco Polo,0/0/7,18781,190568,115339,Zhang Liang,3/3/4,10142,78550,56642,Pei Qinhu,4/4/3,20225,54224,98975,Yáo,0/3/7,10195,39056,72888,Lv Bu,1/5/6,11091,36694,167221,70434,8,6
1,Lian Po,2/2/9,12232,44577,171822,Jing,4/2/5,17866,56988,83852,Houyi,7/1/4,18742,164732,63827,Jiang Ziya,2/1/8,12391,171550,37578,Taiyi Zhenren,0/2/8,11113,14126,116113,72344,15,8
1,Marco Polo,1/3/8,13022,97140,61668,Zhang Liang,2/4/6,9030,56879,39614,Pei Qinhu,4/3/4,16597,68134,116972,Zhang Fei,1/0/8,9251,21466,109882,Kuangtie,2/4/7,10848,46908,158266,58748,10,6
0,Yào,5/2/4,14887,53074,72953,Zhou Yu,1/3/7,12779,111304,44985,Gongsun Li,4/2/8,14746,119884,66932,Lian Po,2/3/8,9909,51984,134322,Daqiao,2/1/8,8298,33118,42535,60619,14,6
1,Ma Chao,5/2/3,10330,43218,38059,Jiang Ziya,0/0/8,8357,60753,3373,Jing,3/0/5,11700,35454,40806,Guiguzi,0/1/9,5667,7343,31415,Lv Bu,2/1/2,7758,18209,39467,43812,10,7
0,Zhu Bajie,0/1/2,6521,16271,63232,Zhang Liang,2/3/1,5756,13887,21048,Huang Zhong,1/2/0,9554,32560,27894,Naklulu,1/2/3,7542,15512,32974,Liu Bang,0/2/2,5124,7295,38884,34497,4,1
1,Di Renjie,8/3/9,17996,204761,96536,Wang Zhaojun,3/2/16,14547,117877,62755,Luna,4/5/7,17589,83280,152793,Master Luban,2/1/17,10787,39835,109203,Bai Qi,5/1/9,11550,73556,189265,72469,22,9
0,Lv Bu,0/6/8,10128,54755,160571,Mai Shiranui,3/7/2,13140,121691,73194,Sun Shangxiang,5/2/2,18788,168847,89673,Agudo,4/4/4,12087,101903,143072,Zhang Fei,0/3/8,9225,28889,172949,63368,12,3
1,Sun Shangxiang,8/4/5,19208,111360,104125,Xishi,4/2/12,14256,117041,40385,Pei Qinhu,8/4/8,21006,102240,128792,Dun Shan,0/4/10,11267,14329,114111,Zhu Bajie,0/4/10,13390,41926,179744,79127,20,9
0,Zhao Yun,3/7/2,14320,57821,109514,Guan Yu,2/3/7,14243,43162,77751,Wang Zhaojun,4/1/8,15717,136115,48192,Marco Polo,7/2/8,19192,203837,89552,Bull Demon,2/7/12,9540,23639,148797,73012,18,4
1,Di Renjie,2/0/4,10395,36042,24854,Mai Shiranui,5/2/3,9711,76058,45632,Naklulu,2/0/3,11723,44547,48378,Master Luban,0/0/10,6231,13510,51630,Bai Qi,3/3/2,7800,10337,74934,45860,12,9
0,Agudo,2/5/2,6311,27927,69229,Ma Chao,1/2/0,8534,19501,33587,Yang Yuhuan,1/0/4,8387,37787,32855,Meng Ya,1/2/3,7746,49155,35740,Sun Bin,0/3/4,5007,30872,38956,35985,5,1
1,Ma Chao,5/1/5,12389,70270,62692,Zhang Liang,0/0/9,8015,30597,19630,Zhao Yun,4/1/6,14156,68758,71354,Sun Bin,1/0/11,7087,27783,34447,Lv Bu,3/0/9,8315,48948,109868,49962,13,9
0,Jing,2/0/0,11394,31173,56484,Lian Po,0/4/2,6059,29137,83319,Jiang Ziya,0/1/2,7893,92341,15324,Yu Ji,0/3/1,9466,71493,42788,Taiyi Zhenren,0/5/1,5339,10737,68702,40151,2,1
0,Di Renjie,3/5/11,18224,186641,109475,Zhang Liang,7/1/10,13381,118613,42382,Tachibana Ukyo,4/2/11,23018,113439,116172,Master Luban,2/6/12,9996,23094,146184,Xiang Yu,2/5/11,9790,53326,189886,74409,18,6
1,Bai Qi,1/7/11,12148,65699,175822,Dun Shan,1/6/13,10621,13879,140694,Wang Zhaojun,2/2/13,13541,116324,59072,Lanlingwang,5/2/12,18055,98158,114914,Gongsun Li,10/1/6,20854,210127,71304,75219,19,8
0,Meng Ya,2/2/0,13824,99579,65961,Xishi,1/2/1,10327,103005,31074,Naklulu,0/2/0,16362,44914,83139,Zhang Fei,0/3/1,7774,18880,141252,Lv Bu,1/6/1,8960,67148,121363,57247,4,3
1,Zhu Bajie,0/0/14,11446,72959,156347,Cai Wenji,0/0/12,8967,40703,81528,Zhang Liang,4/2/9,8939,66681,36686,Jing,6/1/5,16396,86272,84942,Di Renjie,5/1/7,15799,128822,55208,61547,15,7
0,Shen Mengxi,4/1/2,14151,243838,49712,Zhao Yun,5/4/3,18242,70504,114633,Marco Polo,0/2/6,13591,136354,82948,Sun Bin,0/2/9,9234,48925,63060,Lian Po,0/5/5,9548,73748,180628,64766,9,5
1,Laofuzi,3/2/9,12833,50073,119129,Taiyi Zhenren,0/1/10,10965,23992,162754,Mozi,2/2/10,11639,149659,103031,Agudo,2/2/12,12931,73798,161469,Sun Shangxiang,7/2/4,19060,127632,124075,67428,14,7
1,Shen Mengxi,1/1/6,13290,172991,22151,Luna,5/2/2,16638,107466,135474,Gongsun Li,1/1/5,15024,88010,52106,Daqiao,1/2/6,8303,38458,44771,Zhu Bajie,1/1/5,9516,43450,140938,62771,9,7
0,Lv Bu,0/1/4,10402,45690,128466,Pangu,1/3/5,12998,66805,122915,Xishi,2/2/5,10158,58643,57962,Sun Shangxiang,3/1/4,15406,87117,80794,Taiyi Zhenren,1/2/6,9564,16675,105447,58528,7,2
1,Zhang Liang,2/3/11,10229,38046,44453,Jing,5/2/11,17084,80290,103340,Sun Shangxiang,6/0/6,18177,88021,50935,Lian Po,1/5/11,8291,23938,106717,Nezha,4/3/8,11207,52448,63948,64988,18,8
0,Guan Yu,2/2/7,13633,55543,72313,Lanlingwang,6/3/5,12679,66584,73721,Jiang Ziya,2/4/6,10454,75606,39733,Di Renjie,3/3/6,13794,82438,55591,Dun Shan,0/6/9,8330,12684,80622,58890,13,1
1,Xiahou Dun,2/2/8,9705,45246,141902,Pei Qinhu,11/1/5,13368,113483,83800,Daqiao,4/1/11,9509,110737,48116,Su Lie,1/4/10,11363,55473,118450,Guiguzi,1/2/12,8295,36087,97429,52240,19,9
0,Gongsun Li,4/4/3,10971,81026,63292,Liu Bang,1/3/5,9562,65239,114374,Jiang Ziya,4/3/5,9706,161784,38171,Yang Jian,1/4/5,9190,48122,79136,Taiyi Zhenren,0/5/6,6434,31993,114295,45863,10,1
1,Gongsun Li,0/2/9,7344,44505,41641,Laofuzi,2/1/6,9771,55838,49272,Jiang Ziya,6/0/3,8434,91382,15131,Cheng Yaojin,4/0/5,9500,53733,80121,Bull Demon,0/1/9,5716,35933,55217,40765,12,8
1,Marco Polo,4/2/6,14586,81663,60506,Guan Yu,4/0/5,13864,76095,80675,Ganjiang Moye,6/0/7,14405,136781,29079,Mengqi,3/1/3,14519,72571,95794,Toho Taiichi,1/3/8,8813,25795,124322,66187,18,9
1,Su Lie,1/2/6,9547,32665,106031,Ake,4/1/4,13167,50949,62758,Yang Yuhuan,4/1/6,11935,119616,58023,Dian Wei,1/1/2,12836,27004,47716,Guiguzi,0/2/5,6617,24112,58594,54102,10,7
0,Lv Bu,2/2/4,10041,47787,84303,Luna,0/3/1,11183,46199,74453,Hua Mulan,3/1/3,12367,72874,45321,Zhuang Zhou,1/4/5,8378,56268,110302,Daqiao,1/0/5,7424,33447,11682,49393,7,2
0,Laofuzi,0/2/4,9680,32484,75000,Naklulu,0/2/2,10806,30501,58486,Yang Yuhuan,1/3/1,9175,61715,56630,Sun Ce,1/2/2,9946,40437,65405,Sun Bin,2/2/2,6565,40329,55962,46172,4,2
1,Bai Qi,2/1/5,9888,36495,77145,Guan Yu,2/0/3,12078,36464,41147,Gongsun Li,4/0/4,12432,60859,43918,Ganjiang Moye,2/2/5,11370,102192,32135,Zhang Fei,1/1/7,7977,19311,98851,53745,11,9
1,Laofuzi,1/1/9,5590,17955,34695,Gongsun Li,7/0/6,7298,34277,24856,Yang Yuhuan,3/0/7,5814,33655,20222,Dian Wei,3/1/7,6770,39369,21954,Sun Bin,0/0/11,3864,19109,13760,29336,14,5
0,Su Lie,0/2/2,4765,15179,43006,Cheng Yaojin,0/3/2,5382,11332,44070,Baili Xuance,2/2/0,5052,15552,26251,Sima Yi,0/4/2,4990,24316,36066,Taiyi Zhenren,0/3/2,3944,11926,27921,24133,2,2
0,Naklulu,3/6/3,15698,91407,103131,Luna,2/4/0,17424,110141,162912,Su Lie,2/2/2,12670,39934,169765,Baili Shouyue,0/3/3,14933,135261,62845,Zhang Fei,0/7/2,10686,35099,242383,71411,7,6
1,Hua Mulan,3/2/9,16082,88509,87277,Zhuang Zhou,3/1/13,14914,100804,136319,Marco Polo,10/0/7,17716,203660,73110,Ganjiang Moye,5/3/8,17459,194447,88144,Guiguzi,1/1/14,10876,53926,121723,77047,22,8
0,Su Lie,0/0/2,5617,31226,57728,Dian Wei,0/2/2,6207,41050,34093,Baili Xuance,1/3/1,5961,11244,36893,Xiaoqiao,1/3/1,6283,47632,25445,Taiyi Zhenren,0/5/1,3607,14994,47488,27675,2,0
1,Cheng Yaojin,2/0/6,8048,22004,81995,Zhuang Zhou,1/1/10,5706,46773,40612,Marco Polo,3/1/8,6640,38118,30693,Yang Yuhuan,6/0/7,8314,55111,32679,Bull Demon,1/0/6,4754,17329,47414,33462,13,7
1,Su Lie,1/0/5,6965,26898,57836,Cai Wenji,0/0/5,4713,11236,23831,Dian Wei,1/1/1,7131,20876,36473,Naklulu,3/0/3,9245,44215,40000,Yuan Ge,3/1/3,7421,45578,25323,35475,8,7
0,Xiahou Dun,2/1/0,4441,21106,52870,Laofuzi,0/1/1,6010,24608,35733,Marco Polo,0/2/0,6185,15456,28671,Xiaoqiao,0/3/1,6012,38119,26119,Sun Bin,0/1/1,4394,16118,30501,27042,2,0
1,Su Lie,1/2/3,18769,80507,253146,Lian Po,0/4/5,19107,52464,236287,Guan Yu,1/3/7,26118,81658,197049,Baili Shouyue,1/1/6,26293,237042,68723,Yuan Ge,9/2/3,23723,328654,89998,114010,12,9
0,Xiahou Dun,1/2/5,20488,113854,381367,Dian Wei,7/4/3,29395,125646,195726,Gongsun Li,1/4/4,26334,107821,138152,Diao Chan,2/2/7,23856,171542,160706,Sun Bin,1/0/10,20339,96225,113851,120412,12,5
1,Xiang Yu,1/1/6,10791,45153,101925,Hua Mulan,1/2/7,12765,59639,74161,Gongsun Li,3/2/6,12129,79415,71790,Yang Yuhuan,4/2/5,13350,85970,69262,Taiyi Zhenren,3/3/6,9764,20192,95771,58799,12,5
0,Bai Qi,0/3/8,10443,32729,119544,Guan Yu,3/3/5,14217,69625,80698,Marco Polo,3/3/5,13174,114864,66237,Wu Zetian,2/1/6,11623,111863,22438,Su Lie,2/2/5,8191,24513,101431,57648,10,7
0,Dun Shan,0/4/5,10352,37280,91942,Hua Mulan,5/3/2,16500,97992,81668,Marco Polo,1/1/7,15011,117876,66275,Wu Zetian,2/1/5,14533,124843,39260,Guiguzi,1/2/6,9460,31093,63448,65856,9,4
1,Lv Bu,3/3/5,14770,58728,185221,Guan Yu,2/0/5,17723,47751,67540,Gongsun Li,4/1/5,14490,53769,76400,Yang Yuhuan,2/2/9,14867,104226,68394,Zhang Fei,0/3/7,10251,23764,178995,72101,11,8
1,Xiahou Dun,0/3/4,8408,63298,119732,Dian Wei,3/1/2,11349,55140,62350,Marco Polo,3/0/5,12333,82271,43724,Yuan Ge,2/1/3,9965,86792,30901,Su Lie,0/1/5,6711,18959,103457,48766,8,7
0,Bai Qi,1/1/4,8242,38268,97685,Guan Yu,0/3/4,9705,49946,64163,Gongsun Li,1/2/5,7703,59952,52977,Ganjiang Moye,2/0/4,9292,120517,33731,Zhang Fei,2/2/3,5647,22393,100621,40589,6,1
1,Laofuzi,3/1/3,9039,27066,34393,Taiyi Zhenren,0/0/9,5339,17205,47538,Dun Shan,0/1/7,6961,11652,42035,Naklulu,5/0/5,9188,65403,45562,Xiaoqiao,7/0/5,9768,80221,19869,40295,15,7
0,Lv Bu,1/2/0,6998,16551,56201,Hua Mulan,0/4/0,6150,10677,37072,Marco Polo,1/3/0,6585,36784,35054,Zhuang Zhou,0/4/0,5176,34437,75310,Sun Bin,0/2/2,4859,20195,27704,29768,2,1
1,Dian Wei,2/2/3,11510,50601,66713,Sun Bin,5/0/7,10763,59637,61849,Xiahou Dun,3/2/6,10708,58139,143185,Marco Polo,1/1/8,12436,75601,54510,Cheng Yaojin,2/1/7,12351,36784,121379,57768,13,8
0,Su Lie,2/3/3,9656,37313,107215,Hua Mulan,0/3/3,11568,54896,47333,Gongsun Li,1/3/4,10906,75625,54127,Yuan Ge,3/3/3,11063,85209,45779,Zhuang Zhou,0/1/5,6967,64905,69703,50160,6,1
1,Su Lie,3/2/6,12117,28715,118828,Hua Mulan,5/0/6,16779,67717,56712,Gongsun Li,3/1/8,17181,74824,57451,Yang Yuhuan,1/2/8,13822,65314,63221,Taiyi Zhenren,0/4/4,10135,13026,90394,70034,12,9
0,Guan Yu,3/3/5,11687,33389,74614,Yu Ji,4/2/2,14422,102950,43077,Xiang Yu,0/5/2,11014,27556,97751,Diao Chan,0/1/8,13542,75758,65776,Sun Bin,2/1/6,8859,70354,49662,59524,9,4
1,Xiahou Dun,0/1/7,16961,65919,221304,Lv Bu,4/1/6,19779,116094,193661,Marco Polo,5/3/3,19952,82731,91954,Yang Yuhuan,5/1/7,20458,137242,116264,Zhuang Zhou,0/3/11,13434,59024,164343,90584,14,8
0,Hua Mulan,1/5/1,19668,102182,130263,Xiang Yu,3/2/4,17529,92871,179616,Yu Ji,2/3/3,19103,133781,88064,Yuan Ge,3/3/4,17706,181500,87726,Daqiao,0/1/8,14044,103803,74163,88050,9,8
0,Naklulu,0/3/4,9606,38904,42337,Hua Mulan,4/1/0,9821,31458,32866,Su Lie,1/2/2,8702,21777,65610,Xiaoqiao,1/2/3,8630,61705,22991,Guiguzi,0/0/6,5634,19987,36991,42393,6,5
1,Guan Yu,2/0/2,9621,34482,46403,Gongsun Li,1/2/6,9638,29118,41104,Dun Shan,0/2/7,8505,14949,81980,Diao Chan,4/0/4,11135,66874,31231,Taiyi Zhenren,1/2/5,6347,14943,58263,45246,8,6
0,Yào,0/3/1,7259,34406,49587,Baili Xuance,0/4/1,5845,12685,41255,Wang Zhaojun,1/2/1,6800,34317,24666,Huang Zhong,1/3/1,7316,30770,24266,Lian Po,0/3/1,4442,17617,54788,31662,2,0
1,Shangguan Wan'er,4/0/6,9264,39846,25978,Yunzhongjun,6/1/4,9677,38712,46203,Li Yuanfang,3/0/10,10449,56368,30086,Lv Bu,2/1/6,8917,32147,56859,Dun Shan,0/0/7,5317,8162,39998,43624,15,8
0,Guan Yu,3/3/1,14657,55852,90181,Yunzhongjun,2/4/3,12366,50335,92388,Jiang Ziya,1/2/1,12883,104185,51834,Marco Polo,2/3/3,16045,124467,73806,Taiyi Zhenren,0/3/3,8411,9738,102967,64362,8,5
1,Shen Mengxi,1/1/11,14003,112393,47639,Zhao Yun,3/2/6,15120,46406,111215,Sun Shangxiang,6/2/6,16671,106893,69010,Yào,2/3/6,14446,49822,84952,Zhang Fei,3/0/12,10277,21226,127764,70517,15,7
1,Tachibana Ukyo,3/1/4,11718,38722,50341,Lanlingwang,1/2/5,7555,16476,46392,Yuan Ge,6/0/3,11504,62194,31785,Meng Ya,2/1/7,12168,62838,36677,Zhang Fei,0/1/4,6214,6758,101572,49159,12,6
0,Baili Shouyue,1/4/0,7421,43734,27365,Pei Qinhu,2/2/2,11001,20920,67836,Marco Polo,1/3/2,9680,53866,43405,Kuangtie,0/1/2,9906,30178,78718,Jiang Ziya,1/2/3,6401,54175,22065,44409,5,2
0,Ma Chao,5/5/5,14133,69391,74571,Pei Qinhu,4/4/7,13470,78253,77193,Yingzheng,1/4/6,11964,107231,52713,Lv Bu,2/5/7,9813,62162,118038,Su Lie,0/3/9,7988,28437,124491,57368,12,4
1,Luna,5/2/8,16526,94489,120241,Gongsun Li,9/3/7,14851,155095,54575,Pangu,1/3/13,12383,52995,108009,Guan Yu,6/2/7,12721,62852,71059,Taiyi Zhenren,0/2/12,9575,23596,98781,66056,21,9
1,Zhu Bajie,1/3/2,9221,20090,105806,Luna,3/1/1,15281,57951,86123,Xishi,1/0/7,9603,64825,34359,Sun Bin,1/0/7,7615,53684,49960,Marco Polo,2/1/4,11824,83360,46541,53544,8,8
0,Lv Bu,0/1/3,8386,30807,93349,Pei Qinhu,3/0/2,11859,48447,72419,Shangguan Wan'er,1/4/3,7175,70105,53784,Genghis Khan,1/1/3,9974,38713,38475,Daqiao,0/2/5,6935,42959,58797,44329,5,0
1,Yào,2/1/0,15066,43651,51638,Pangu,1/1/4,15744,39635,87277,Yingzheng,1/1/4,13907,182407,65866,Taiyi Zhenren,0/0/6,10122,16656,97916,Gongsun Li,3/0/2,14366,59804,61565,69205,7,8
0,Guan Yu,0/4/2,10548,35340,74655,Tachibana Ukyo,0/0/2,11498,31658,75027,Shen Mengxi,2/0/0,11653,137741,33901,Sun Shangxiang,0/1/1,15455,61628,50091,Zhang Fei,1/2/0,8802,11989,149567,57956,3,0
1,Guan Yu,1/0/8,13980,61724,60459,Tachibana Ukyo,3/2/8,15728,56668,91475,Shen Mengxi,1/1/8,11006,129909,39373,Zhang Fei,1/0/8,8686,24927,146127,Meng Ya,5/0/6,14567,100023,38579,63967,11,7
0,Yào,0/3/1,13874,41992,59124,Zhao Yun,0/3/3,10422,35594,73777,Chang'e,3/1/0,13551,94093,135968,Marco Polo,0/1/0,13866,116517,64488,Taiyi Zhenren,0/3/0,7469,13377,97782,59182,3,3
1,Laofuzi,1/3/4,15077,47762,119246,Galo,4/1/7,20778,180799,58219,Shen Mengxi,3/2/10,17387,214680,56192,Naklulu,4/4/3,22265,58343,81419,Taiyi Zhenren,1/5/11,11570,35040,163266,87077,13,7
0,Li Xin,2/2/7,18485,59120,103969,Zhu Bajie,0/4/10,11839,48061,224847,Chang'e,5/2/6,18293,69165,160071,Meng Ya,8/2/6,18542,161111,115043,Sun Bin,0/3/14,11709,48903,102209,78868,15,7
1,Lanlingwang,1/4/6,10599,33650,67824,Cao Cao,1/4/2,13168,36341,89423,Zhou Yu,3/0/9,14845,100824,63071,Meng Ya,8/2/4,18266,153622,88902,Zhang Fei,0/4/12,8529,20026,144475,65407,13,8
0,Luna,3/3/3,14808,37156,82347,Tachibana Ukyo,4/2/7,11592,65615,80112,Shangguan Wan'er,3/3/3,12467,96413,64433,Genghis Khan,4/2/5,14420,124853,53394,Su Lie,0/3/6,8400,24564,116303,61687,14,3
0,Liu Bang,0/3/0,5754,10717,46007,Zhao Yun,0/1/0,5588,15305,33705,Mozi,0/1/0,5625,30475,36753,Genghis Khan,0/2/0,8119,32928,35628,Yáo,0/1/0,4431,20209,24061,29517,0,1
1,Ma Chao,1/0/6,8314,36692,25063,Lanlingwang,1/0/7,6171,21575,28328,Jiang Ziya,1/0/3,7068,44068,8567,Marco Polo,5/0/1,8534,38615,33335,Zhang Fei,0/0/5,4730,7190,55850,34817,8,5
1,Lv Bu,1/1/9,8785,56681,72232,Ma Chao,3/0/4,10165,41994,39007,Zhang Liang,2/2/7,7336,26013,30870,Pei Qinhu,4/1/4,9977,33573,48338,Su Lie,1/1/10,5372,17017,65235,41635,11,8
0,Kuangtie,0/1/1,7135,14793,51037,Pangu,2/4/2,5226,27361,42314,Wu Zetian,0/1/5,6155,52943,20417,Sun Shangxiang,3/0/1,9253,75614,25735,Dun Shan,0/5/4,4396,5989,54765,32165,5,0
0,Xiang Yu,2/3/3,8582,38015,112096,Laofuzi,2/2/1,10704,55131,82952,Naklulu,3/3/2,11634,50160,68637,Mozi,0/3/7,9724,97558,68876,Daqiao,1/3/7,7070,33547,79100,47714,8,2
1,Li Bai,1/1/6,12586,57619,75916,Lv Bu,3/2/8,12131,82794,98309,Shangguan Wan'er,7/2/5,13733,116630,46422,Miyue,2/0/10,14359,81692,75291,Toho Taiichi,1/3/7,7463,33912,95938,60272,14,8
0,Mengqi,0/2/4,8456,50335,87442,Zhu Bajie,2/4/4,7173,33426,101506,Baili Xuance,4/4/4,9154,24568,52679,Bian Que,2/3/6,6553,50405,71106,Toho Taiichi,1/4/7,5209,31511,89743,36545,9,0
1,Yunzhongjun,4/1/9,10453,33459,49961,Kuangtie,0/2/10,10942,60502,90294,Shen Mengxi,8/0/7,11423,140340,23968,Li Xin,4/1/10,11946,94302,30094,Lian Po,1/5/15,6235,41346,86741,50999,17,9
1,Marco Polo,11/0/2,10913,66246,36078,Dun Shan,1/2/8,6332,21724,64264,Lanlingwang,5/2/9,10354,38200,43646,Wang Zhaojun,3/0/17,8803,73422,39984,Lian Po,2/0/19,6329,22783,67178,42731,22,7
0,Baili Xuance,1/5/3,7254,21036,47959,Xiahou Dun,1/5/1,5980,34555,83609,Jiang Ziya,2/3/1,7307,79797,27172,Laofuzi,0/3/1,6874,28212,43526,Guiguzi,0/6/3,4220,12420,54113,31635,4,2
1,Di Renjie,5/0/4,11162,49132,34043,Li Xin,1/0/2,9627,51086,38837,Pei Qinhu,2/0/6,10151,29656,53007,Chang'e,2/1/6,9778,42945,81211,Taiyi Zhenren,0/0/3,6301,5435,60776,47019,10,8
0,Sun Ce,1/3/0,6090,15957,42211,Marco Polo,0/2/1,6962,49677,32205,Yingzheng,0/1/1,8543,101179,20841,Kai,0/2/1,6774,23778,44950,Su Lie,0/2/1,4264,12509,64598,32633,1,0
0,Kuangtie,2/6/4,9974,57094,132520,Taiyi Zhenren,1/7/4,6596,13377,116024,Shangguan Wan'er,5/5/2,10824,64607,51949,Zhu Bajie,0/5/3,8054,27528,135774,Marco Polo,1/3/2,13332,98828,59599,48780,9,1
1,Ma Chao,3/2/7,14187,69361,69849,Ganjiang Moye,8/0/11,13723,185567,26470,Sun Shangxiang,8/2/6,13859,93113,47953,Su Lie,3/3/18,7896,29809,112427,Pangu,4/2/17,11380,76782,83934,61045,26,8
1,Guan Yu,2/1/2,16356,41736,82941,Wang Zhaojun,3/3/10,13310,113161,89239,Di Renjie,3/3/8,16147,114586,75175,Lanlingwang,5/6/7,12519,64628,73735,Guiguzi,1/6/5,9481,21439,104945,67813,14,7
0,Sun Ce,12/2/6,17523,95551,112262,Lv Bu,1/4/8,11755,32857,118120,Baili Shouyue,0/2/9,12661,112986,34497,Wu Zetian,5/2/10,14936,89594,27344,Lian Po,1/4/12,9391,35173,163198,66266,19,4
1,Laofuzi,0/1/7,11434,23475,37340,Shangguan Wan'er,7/0/6,11770,87304,37299,Genghis Khan,6/0/6,13247,55157,14494,Tachibana Ukyo,4/2/7,9073,38689,51570,Bull Demon,1/0/15,7953,13325,52110,53477,18,9
0,Lanlingwang,1/4/0,6766,19880,41266,Ma Chao,1/5/0,9035,35308,71525,Marco Polo,0/2/2,11614,37533,28465,Chang'e,1/3/1,9456,35838,52526,Taiyi Zhenren,0/4/1,6012,9077,65461,42883,3,2
0,Ma Chao,2/1/2,11954,60857,58207,Yang Yuhuan,3/4/1,9252,52447,45776,Yu Ji,0/2/3,10012,49650,36976,Pangu,3/5/5,7327,63395,86868,Taiyi Zhenren,0/4/6,6730,26302,90683,45275,8,3
1,Zhao Yun,7/1/6,11935,70492,61338,Zhu Bajie,2/2/9,8006,34146,107268,Sun Shangxiang,5/0/7,11450,83009,39165,Miledy,2/2/9,8789,74850,27316,Dun Shan,0/3/9,5740,15399,63034,45920,16,6
0,Luna,1/2/4,16284,63141,107312,Zhang Liang,1/3/4,11275,93243,48588,Sun Shangxiang,7/3/2,17419,147216,60533,Yang Jian,1/6/4,10985,78364,114335,Su Lie,0/7/7,8483,40995,174453,64446,10,3
1,Guan Yu,5/0/9,17691,67348,71260,Yu Ji,9/2/9,17523,161985,82752,Shangguan Wan'er,5/3/13,15392,136890,74309,Zhu Bajie,2/2/16,11333,39236,167997,Lian Po,0/3/15,9838,26554,157253,71777,21,7
